InceptModel	InceptPerf	ModelCNN	CNNPerf	PerfDiff
ImageNetInceptionV2	0,95	CNNModel	0,87	0,08
ImageNetInceptionV2	0,95	CNNModel	0,87	0,08
ImageNetInceptionV2	0,93	CNNModel	0,85	0,08
ImageNetInceptionV2	0,92	CNNModel	0,84	0,08
ImageNetInceptionV2	0,91	CNNModel	0,83	0,08
ImageNetInceptionV2	0,85	CNNModel	0,77	0,08
ImageNetInceptionV2	0,81	CNNModel	0,73	0,08
ImageNetInceptionV2	0,81	CNNModel	0,73	0,08
ImageNetInceptionV2	0,78	CNNModel	0,7	0,08
ImageNetInceptionV2	0,67	CNNModel	0,59	0,08
ImageNetInceptionV2	0,57	CNNModel	0,49	0,08
ImageNetInceptionV2	0,56	CNNModel	0,48	0,08
ImageNetInceptionV2	0,44	CNNModel	0,36	0,08
ImageNetInceptionV2	0,79	CNNModel	0,7	0,09
ImageNetInceptionV2	0,77	CNNModel	0,68	0,09
ImageNetInceptionV2	0,69	CNNModel	0,6	0,09
ImageNetInceptionV2	0,38	CNNModel	0,29	0,09
ImageNetInceptionV2	0,98	CNNModel	0,88	0,1
ImageNetInceptionV2	0,97	CNNModel	0,87	0,1
ImageNetInceptionV2	0,97	CNNModel	0,87	0,1
ImageNetInceptionV2	0,77	CNNModel	0,67	0,1
ImageNetInceptionV2	0,72	CNNModel	0,62	0,1
ImageNetInceptionV2	0,71	CNNModel	0,61	0,1
ImageNetInceptionV2	0,69	CNNModel	0,59	0,1
ImageNetInceptionV2	0,63	CNNModel	0,53	0,1
ImageNetInceptionV2	0,5	CNNModel	0,4	0,1
ImageNetInceptionV2	0,5	CNNModel	0,4	0,1
ImageNetInceptionV2	0,82	CNNModel	0,71	0,11
ImageNetInceptionV2	0,76	CNNModel	0,65	0,11
ImageNetInceptionV2	0,68	CNNModel	0,57	0,11
ImageNetInceptionV2	0,65	CNNModel	0,54	0,11
ImageNetInceptionV2	0,48	CNNModel	0,37	0,11
ImageNetInceptionV2	0,41	CNNModel	0,3	0,11
ImageNetInceptionV2	0,3	CNNModel	0,19	0,11
ImageNetInceptionV2	0,84	CNNModel	0,72	0,12
ImageNetInceptionV2	0,83	CNNModel	0,71	0,12
ImageNetInceptionV2	0,78	CNNModel	0,66	0,12
ImageNetInceptionV2	0,78	CNNModel	0,66	0,12
ImageNetInceptionV2	0,76	CNNModel	0,64	0,12
ImageNetInceptionV2	0,75	CNNModel	0,63	0,12
ImageNetInceptionV2	0,12	CNNModel	0	0,12
ImageNetInceptionV2	0,92	CNNModel	0,79	0,13
ImageNetInceptionV2	0,77	CNNModel	0,64	0,13
ImageNetInceptionV2	0,74	CNNModel	0,61	0,13
ImageNetInceptionV2	0,71	CNNModel	0,58	0,13
ImageNetInceptionV2	0,68	CNNModel	0,55	0,13
ImageNetInceptionV2	0,76	CNNModel	0,62	0,14
ImageNetInceptionV2	0,72	CNNModel	0,58	0,14
ImageNetInceptionV2	0,46	CNNModel	0,32	0,14
ImageNetInceptionV2	0,14	CNNModel	0	0,14
ImageNetInceptionV2	0,77	CNNModel	0,62	0,15
ImageNetInceptionV2	0,66	CNNModel	0,51	0,15
ImageNetInceptionV2	0,41	CNNModel	0,26	0,15
ImageNetInceptionV2	0,87	CNNModel	0,71	0,16
ImageNetInceptionV2	0,71	CNNModel	0,55	0,16
ImageNetInceptionV2	0,62	CNNModel	0,46	0,16
ImageNetInceptionV2	0,53	CNNModel	0,37	0,16
ImageNetInceptionV2	0,81	CNNModel	0,64	0,17
ImageNetInceptionV2	0,79	CNNModel	0,62	0,17
ImageNetInceptionV2	0,68	CNNModel	0,51	0,17
ImageNetInceptionV2	0,17	CNNModel	0	0,17
ImageNetInceptionV2	1	CNNModel	0,82	0,18
ImageNetInceptionV2	0,96	CNNModel	0,78	0,18
ImageNetInceptionV2	0,68	CNNModel	0,5	0,18
ImageNetInceptionV2	0,66	CNNModel	0,48	0,18
ImageNetInceptionV2	0,65	CNNModel	0,47	0,18
ImageNetInceptionV2	0,9	CNNModel	0,71	0,19
ImageNetInceptionV2	0,87	CNNModel	0,68	0,19
ImageNetInceptionV2	0,86	CNNModel	0,67	0,19
ImageNetInceptionV2	0,85	CNNModel	0,66	0,19
