./tflearnModels/bestModels//best_ImageNetInceptionV2_hsa:6331_momentum_0.01_208010
Threshold	Accuracy	F-Score	Precision	Recall	TP	FP	TN	FN
0.9279999999999999	0.7574931880108992	0.08247422680412371	0.04938271604938271	0.25	4	77	274	12
0.9269999999999999	0.7547683923705722	0.0816326530612245	0.04878048780487805	0.25	4	78	273	12
0.9259999999999999	0.7547683923705722	0.0816326530612245	0.04878048780487805	0.25	4	78	273	12
0.9249999999999999	0.7547683923705722	0.0816326530612245	0.04878048780487805	0.25	4	78	273	12
0.9239999999999999	0.7547683923705722	0.0816326530612245	0.04878048780487805	0.25	4	78	273	12
0.9229999999999999	0.7547683923705722	0.0816326530612245	0.04878048780487805	0.25	4	78	273	12
0.9219999999999999	0.7547683923705722	0.0816326530612245	0.04878048780487805	0.25	4	78	273	12
0.9209999999999999	0.7547683923705722	0.0816326530612245	0.04878048780487805	0.25	4	78	273	12
0.9199999999999999	0.7547683923705722	0.0816326530612245	0.04878048780487805	0.25	4	78	273	12
0.9189999999999999	0.7547683923705722	0.0816326530612245	0.04878048780487805	0.25	4	78	273	12
0.9179999999999999	0.7547683923705722	0.0816326530612245	0.04878048780487805	0.25	4	78	273	12
0.9169999999999999	0.7520435967302452	0.08080808080808081	0.04819277108433735	0.25	4	79	272	12
0.9159999999999999	0.7438692098092643	0.07843137254901962	0.046511627906976744	0.25	4	82	269	12
0.9149999999999999	0.7438692098092643	0.07843137254901962	0.046511627906976744	0.25	4	82	269	12
0.9139999999999999	0.7438692098092643	0.07843137254901962	0.046511627906976744	0.25	4	82	269	12
0.9129999999999999	0.7411444141689373	0.07766990291262135	0.04597701149425287	0.25	4	83	268	12
0.9119999999999999	0.7411444141689373	0.07766990291262135	0.04597701149425287	0.25	4	83	268	12
0.9109999999999999	0.7356948228882834	0.07619047619047618	0.0449438202247191	0.25	4	85	266	12
0.9099999999999999	0.7356948228882834	0.07619047619047618	0.0449438202247191	0.25	4	85	266	12
0.9089999999999999	0.7356948228882834	0.07619047619047618	0.0449438202247191	0.25	4	85	266	12
0.9079999999999999	0.7356948228882834	0.07619047619047618	0.0449438202247191	0.25	4	85	266	12
0.9069999999999999	0.7356948228882834	0.07619047619047618	0.0449438202247191	0.25	4	85	266	12
0.9059999999999999	0.7356948228882834	0.07619047619047618	0.0449438202247191	0.25	4	85	266	12
0.9049999999999999	0.7356948228882834	0.07619047619047618	0.0449438202247191	0.25	4	85	266	12
0.9039999999999999	0.7356948228882834	0.07619047619047618	0.0449438202247191	0.25	4	85	266	12
0.9029999999999999	0.7356948228882834	0.07619047619047618	0.0449438202247191	0.25	4	85	266	12
